Iteration,Timestamp,FileSizeMB,DownloadTimeSeconds,SpeedMBps,Configuration
1,2026-01-19T15:33:26,114.66,9.96,11.51,antivirus
2,2026-01-19T15:33:41,114.66,15.28,7.50,antivirus
3,2026-01-19T15:34:02,114.66,12.87,8.91,antivirus
4,2026-01-19T15:34:22,114.66,14.33,8.00,antivirus
5,2026-01-19T15:34:43,114.66,11.81,9.71,antivirus
1,2026-01-19T15:45:40,114.66,11.26,10.18,antivirus
2,2026-01-19T15:45:57,114.66,12.32,9.31,antivirus
3,2026-01-19T15:46:14,114.66,12.01,9.55,antivirus
4,2026-01-19T15:46:31,114.66,16.31,7.03,antivirus
5,2026-01-19T15:46:54,114.66,13.80,8.31,antivirus
1,2026-01-19T15:57:53,114.66,10.40,11.03,antivirus
2,2026-01-19T15:58:09,114.66,11.81,9.71,antivirus
3,2026-01-19T15:58:27,114.66,15.47,7.41,antivirus
4,2026-01-19T15:58:48,114.66,12.99,8.83,antivirus
5,2026-01-19T15:59:07,114.66,12.68,9.04,antivirus
1,2026-01-19T16:09:23,114.66,14.96,7.66,antivirus
2,2026-01-19T16:09:45,114.66,15.33,7.48,antivirus
3,2026-01-19T16:10:06,114.66,10.02,11.44,antivirus
4,2026-01-19T16:10:21,114.66,11.40,10.06,antivirus
5,2026-01-19T16:10:36,114.66,9.75,11.76,antivirus
1,2026-01-19T16:20:49,114.66,11.81,9.71,antivirus
2,2026-01-19T16:21:07,114.66,12.59,9.11,antivirus
3,2026-01-19T16:21:25,114.66,13.18,8.70,antivirus
4,2026-01-19T16:21:44,114.66,13.19,8.69,antivirus
5,2026-01-19T16:22:03,114.66,12.99,8.83,antivirus
