Iteration,Timestamp,TimeMs,TimeSeconds,Configuration
1,2026-01-17T16:05:49,13303.485,13.3,baseline
2,2026-01-17T16:06:16,11573.9859,11.57,baseline
3,2026-01-17T16:06:40,12571.2276,12.57,baseline
4,2026-01-17T16:07:05,12592.933,12.59,baseline
5,2026-01-17T16:07:31,11518.0409,11.52,baseline
1,2026-01-17T16:14:16,16935.909,16.94,baseline
2,2026-01-17T16:14:46,10080.3033,10.08,baseline
3,2026-01-17T16:15:09,12972.9736,12.97,baseline
4,2026-01-17T16:15:36,11943.3247,11.94,baseline
5,2026-01-17T16:16:02,13814.4798,13.81,baseline
1,2026-01-19T14:10:07,18639.7276,18.64,baseline
2,2026-01-19T14:10:40,18280.7418,18.28,baseline
3,2026-01-19T14:11:12,14155.9271,14.16,baseline
4,2026-01-19T14:11:41,20594.1589,20.59,baseline
5,2026-01-19T14:12:16,18512.3709,18.51,baseline
1,2026-01-19T14:20:15,18395.5298,18.40,baseline
2,2026-01-19T14:20:48,11166.2999,11.17,baseline
3,2026-01-19T14:21:12,18173.0516,18.17,baseline
4,2026-01-19T14:21:44,13429.9811,13.43,baseline
5,2026-01-19T14:22:11,14092.4931,14.09,baseline
1,2026-01-19T14:29:13,16507.8276,16.51,baseline
2,2026-01-19T14:29:44,12080.7947,12.08,baseline
3,2026-01-19T14:30:09,13629.7667,13.63,baseline
4,2026-01-19T14:30:37,13503.9423,13.50,baseline
5,2026-01-19T14:31:03,13147.0504,13.15,baseline
