Iteration,Timestamp,FileSizeMB,DownloadTimeSeconds,SpeedMBps,Configuration
1,2026-01-17T16:10:10,114.66,10.18,11.26,baseline
2,2026-01-17T16:10:27,114.66,9.60,11.94,baseline
3,2026-01-17T16:10:42,114.66,11.37,10.08,baseline
4,2026-01-17T16:10:59,114.66,12.15,9.44,baseline
5,2026-01-17T16:11:16,114.66,10.49,10.93,baseline
1,2026-01-17T16:18:39,114.66,9.92,11.56,baseline
2,2026-01-17T16:18:54,114.66,9.40,12.20,baseline
3,2026-01-17T16:19:09,114.66,12.42,9.23,baseline
4,2026-01-17T16:19:28,114.66,10.24,11.20,baseline
5,2026-01-17T16:19:43,114.66,9.95,11.52,baseline
1,2026-01-19T14:15:30,114.66,12.81,8.95,baseline
2,2026-01-19T14:15:50,114.66,11.71,9.79,baseline
3,2026-01-19T14:16:07,114.66,12.10,9.48,baseline
4,2026-01-19T14:16:25,114.66,13.64,8.41,baseline
5,2026-01-19T14:16:44,114.66,17.00,6.74,baseline
1,2026-01-19T14:25:23,114.66,12.28,9.34,baseline
2,2026-01-19T14:25:42,114.66,14.87,7.71,baseline
3,2026-01-19T14:26:03,114.66,12.14,9.44,baseline
4,2026-01-19T14:26:20,114.66,10.35,11.08,baseline
5,2026-01-19T14:26:35,114.66,9.48,12.09,baseline
1,2026-01-19T14:34:03,114.66,10.49,10.93,baseline
2,2026-01-19T14:34:19,114.66,10.63,10.79,baseline
3,2026-01-19T14:34:35,114.66,12.40,9.25,baseline
4,2026-01-19T14:34:54,114.66,19.74,5.81,baseline
5,2026-01-19T14:35:21,114.66,8.37,13.70,baseline
