Iteration,Timestamp,FileSizeMB,DownloadTimeSeconds,SpeedMBps,Configuration
1,2026-01-19T19:44:46,114.66,13.07,8.77,both
2,2026-01-19T19:45:04,114.66,12.09,9.48,both
3,2026-01-19T19:45:20,114.66,11.21,10.23,both
4,2026-01-19T19:45:37,114.66,13.58,8.44,both
5,2026-01-19T19:45:57,114.66,20.26,5.66,both
1,2026-01-19T20:03:27,114.66,12.56,9.13,both
2,2026-01-19T20:03:46,114.66,13.23,8.67,both
3,2026-01-19T20:04:05,114.66,15.30,7.49,both
4,2026-01-19T20:04:26,114.66,14.44,7.94,both
5,2026-01-19T20:04:46,114.66,15.76,7.28,both
1,2026-01-19T20:14:18,114.66,12.80,8.96,both
2,2026-01-19T20:14:35,114.66,12.22,9.38,both
3,2026-01-19T20:14:53,114.66,15.08,7.60,both
4,2026-01-19T20:15:15,114.66,24.99,4.59,both
5,2026-01-19T20:15:48,114.66,22.22,5.16,both
1,2026-01-19T20:26:20,114.66,11.03,10.40,both
2,2026-01-19T20:26:37,114.66,16.75,6.85,both
3,2026-01-19T20:26:59,114.66,11.38,10.08,both
4,2026-01-19T20:27:16,114.66,16.24,7.06,both
5,2026-01-19T20:27:38,114.66,16.53,6.94,both
1,2026-01-19T20:59:05,114.66,11.47,10.00,both
2,2026-01-19T20:59:22,114.66,12.33,9.30,both
3,2026-01-19T20:59:40,114.66,10.72,10.70,both
4,2026-01-19T20:59:57,114.66,13.82,8.30,both
5,2026-01-19T21:00:16,114.66,15.48,7.41,both
