Iteration,Timestamp,TimeMs,TimeSeconds,Configuration
1,2026-01-19T16:42:04,15387.6232,15.39,firewall
2,2026-01-19T16:42:33,12361.6562,12.36,firewall
3,2026-01-19T16:42:58,13119.909,13.12,firewall
4,2026-01-19T16:43:25,14525.7616,14.53,firewall
5,2026-01-19T16:43:52,11893.5973,11.89,firewall
1,2026-01-19T18:23:45,15682.0438,15.68,firewall
2,2026-01-19T18:24:13,10711.3566,10.71,firewall
3,2026-01-19T18:24:37,10752.6304,10.75,firewall
4,2026-01-19T18:25:01,11690.0995,11.69,firewall
5,2026-01-19T18:25:26,11267.3167,11.27,firewall
1,2026-01-19T18:32:43,13704.342,13.70,firewall
2,2026-01-19T18:33:10,10732.2207,10.73,firewall
3,2026-01-19T18:33:34,11489.162,11.49,firewall
4,2026-01-19T18:33:58,11464.5511,11.46,firewall
5,2026-01-19T18:34:23,10438.8373,10.44,firewall
1,2026-01-19T18:41:02,23454.9452,23.45,firewall
2,2026-01-19T18:41:40,11811.9004,11.81,firewall
3,2026-01-19T18:42:07,14676.9214,14.68,firewall
4,2026-01-19T18:42:34,10167.8678,10.17,firewall
5,2026-01-19T18:42:55,8813.1945,8.81,firewall
1,2026-01-19T18:50:03,21236.6761,21.24,firewall
2,2026-01-19T18:50:45,14320.1582,14.32,firewall
3,2026-01-19T18:51:15,12477.591,12.48,firewall
4,2026-01-19T18:51:40,8474.9774,8.47,firewall
5,2026-01-19T18:51:58,6682.7235,6.68,firewall
