Iteration,Timestamp,FileSizeMB,DownloadTimeSeconds,SpeedMBps,Configuration
1,2026-01-19T16:53:52,114.66,11.21,10.23,firewall
2,2026-01-19T16:54:08,114.66,13.35,8.59,firewall
3,2026-01-19T16:54:27,114.66,16.23,7.06,firewall
4,2026-01-19T16:54:49,114.66,16.51,6.94,firewall
5,2026-01-19T16:55:13,114.66,14.64,7.83,firewall
1,2026-01-19T18:27:55,114.66,14.45,7.93,firewall
2,2026-01-19T18:28:17,114.66,14.16,8.10,firewall
3,2026-01-19T18:28:36,114.66,17.00,6.74,firewall
4,2026-01-19T18:28:59,114.66,13.38,8.57,firewall
5,2026-01-19T18:29:18,114.66,13.86,8.27,firewall
1,2026-01-19T18:36:53,114.66,12.36,9.28,firewall
2,2026-01-19T18:37:13,114.66,14.07,8.15,firewall
3,2026-01-19T18:37:32,114.66,11.25,10.19,firewall
4,2026-01-19T18:37:49,114.66,18.59,6.17,firewall
5,2026-01-19T18:38:13,114.66,11.98,9.57,firewall
1,2026-01-19T18:45:20,114.66,16.11,7.12,firewall
2,2026-01-19T18:45:44,114.66,27.61,4.15,firewall
3,2026-01-19T18:46:18,114.66,15.20,7.54,firewall
4,2026-01-19T18:46:39,114.66,12.03,9.53,firewall
5,2026-01-19T18:46:55,114.66,14.21,8.07,firewall
1,2026-01-19T18:54:36,114.66,17.36,6.60,firewall
2,2026-01-19T18:55:01,114.66,10.92,10.50,firewall
3,2026-01-19T18:55:16,114.66,9.24,12.41,firewall
4,2026-01-19T18:55:28,114.66,8.71,13.16,firewall
5,2026-01-19T18:55:41,114.66,11.63,9.86,firewall
