Iteration,Timestamp,SourceSizeGB,CopyTimeSeconds,SpeedMBps,Configuration
1,2026-01-19T16:44:08,1.01,32.72,31.74,firewall
2,2026-01-19T16:44:46,1.01,30.73,33.8,firewall
3,2026-01-19T16:45:22,1.01,34.61,30.01,firewall
4,2026-01-19T16:46:02,1.01,29.41,35.32,firewall
5,2026-01-19T16:46:36,1.01,46.67,22.26,firewall
1,2026-01-19T18:25:40,1.01,23.43,44.33,firewall
2,2026-01-19T18:26:10,1.01,21.84,47.56,firewall
3,2026-01-19T18:26:37,1.01,22.00,47.21,firewall
4,2026-01-19T18:27:04,1.01,22.02,47.17,firewall
5,2026-01-19T18:27:31,1.01,22.95,45.26,firewall
1,2026-01-19T18:34:36,1.01,22.95,45.26,firewall
2,2026-01-19T18:35:05,1.01,21.89,47.45,firewall
3,2026-01-19T18:35:32,1.01,22.51,46.14,firewall
4,2026-01-19T18:36:00,1.01,22.55,46.06,firewall
5,2026-01-19T18:36:27,1.01,25.49,40.75,firewall
1,2026-01-19T18:43:06,1.01,23.53,44.14,firewall
2,2026-01-19T18:43:36,1.01,27.25,38.12,firewall
3,2026-01-19T18:44:09,1.01,21.77,47.71,firewall
4,2026-01-19T18:44:35,1.01,16.31,63.68,firewall
5,2026-01-19T18:44:56,1.01,23.52,44.16,firewall
1,2026-01-19T18:52:07,1.01,14.61,71.09,firewall
2,2026-01-19T18:52:25,1.01,18.02,57.64,firewall
3,2026-01-19T18:52:48,1.01,23.13,44.91,firewall
4,2026-01-19T18:53:18,1.01,30.95,33.56,firewall
5,2026-01-19T18:53:57,1.01,36.96,28.10,firewall
