Iteration,Timestamp,TimeMs,TimeSeconds,Configuration
1,2026-01-19T15:25:46,25985.3628,25.99,antivirus
2,2026-01-19T15:26:34,55619.7634,55.62,antivirus
3,2026-01-19T15:27:46,15175.7617,15.18,antivirus
4,2026-01-19T15:28:14,30721.3578,30.72,antivirus
5,2026-01-19T15:29:05,48160.7518,48.16,antivirus
1,2026-01-19T15:39:41,18491.7007,18.49,antivirus
2,2026-01-19T15:40:11,20494.7158,20.49,antivirus
3,2026-01-19T15:40:47,23132.3754,23.13,antivirus
4,2026-01-19T15:41:28,23912.2552,23.91,antivirus
5,2026-01-19T15:42:04,21540.4641,21.54,antivirus
1,2026-01-19T15:51:45,23733.3301,23.73,antivirus
2,2026-01-19T15:52:26,29188.0161,29.19,antivirus
3,2026-01-19T15:53:17,25672.7688,25.67,antivirus
4,2026-01-19T15:53:59,16613.6204,16.61,antivirus
5,2026-01-19T15:54:26,13442.8341,13.44,antivirus
1,2026-01-19T16:03:12,23600.2259,23.60,antivirus
2,2026-01-19T16:03:58,26735.5128,26.74,antivirus
3,2026-01-19T16:04:41,19078.4892,19.08,antivirus
4,2026-01-19T16:05:10,16936.5944,16.94,antivirus
5,2026-01-19T16:05:41,22265.5032,22.27,antivirus
1,2026-01-19T16:15:03,21253.0883,21.25,antivirus
2,2026-01-19T16:15:40,21395.3105,21.40,antivirus
3,2026-01-19T16:16:15,20084.0648,20.08,antivirus
4,2026-01-19T16:16:50,18546.81,18.55,antivirus
5,2026-01-19T16:17:22,21179.6279,21.18,antivirus
