Iteration,Timestamp,SourceSizeGB,CopyTimeSeconds,SpeedMBps,Configuration
1,2026-01-19T15:30:03,1.01,56.92,18.25,antivirus
2,2026-01-19T15:31:07,1.01,33.73,30.79,antivirus
3,2026-01-19T15:31:45,1.01,21.56,48.18,antivirus
4,2026-01-19T15:32:11,1.01,31.42,33.06,antivirus
5,2026-01-19T15:32:48,1.01,37.48,27.71,antivirus
1,2026-01-19T15:42:31,1.01,37.46,27.73,antivirus
2,2026-01-19T15:43:15,1.01,38.72,26.82,antivirus
3,2026-01-19T15:43:59,1.01,28.60,36.32,antivirus
4,2026-01-19T15:44:32,1.01,26.95,38.54,antivirus
5,2026-01-19T15:45:05,1.01,35.17,29.53,antivirus
1,2026-01-19T15:54:43,1.01,22.85,45.46,antivirus
2,2026-01-19T15:55:11,1.01,33.11,31.37,antivirus
3,2026-01-19T15:55:51,1.01,51.27,20.26,antivirus
4,2026-01-19T15:56:50,1.01,36.42,28.52,antivirus
5,2026-01-19T15:57:31,1.01,22.36,46.45,antivirus
1,2026-01-19T16:06:10,1.01,44.40,23.39,antivirus
2,2026-01-19T16:07:01,1.01,31.16,33.33,antivirus
3,2026-01-19T16:07:36,1.01,26.60,39.05,antivirus
4,2026-01-19T16:08:07,1.01,30.96,33.55,antivirus
5,2026-01-19T16:08:44,1.01,38.29,27.13,antivirus
1,2026-01-19T16:17:49,1.01,30.05,34.56,antivirus
2,2026-01-19T16:18:25,1.01,31.39,33.09,antivirus
3,2026-01-19T16:19:02,1.01,34.50,30.11,antivirus
4,2026-01-19T16:19:42,1.01,32.13,32.33,antivirus
5,2026-01-19T16:20:20,1.01,29.21,35.56,antivirus
