Iteration,Timestamp,SourceSizeGB,CopyTimeSeconds,SpeedMBps,Configuration
1,2026-01-17T16:07:46,1.01,24.16,42.99,baseline
2,2026-01-17T16:08:16,1.01,23.48,44.24,baseline
3,2026-01-17T16:08:45,1.01,23.22,44.73,baseline
4,2026-01-17T16:09:13,1.01,23.41,44.37,baseline
5,2026-01-17T16:09:42,1.01,27.02,38.44,baseline
1,2026-01-17T16:16:18,1.01,22.98,45.2,baseline
2,2026-01-17T16:16:47,1.01,21.47,48.38,baseline
3,2026-01-17T16:17:14,1.01,24.45,42.48,baseline
4,2026-01-17T16:17:44,1.01,22.34,46.49,baseline
5,2026-01-17T16:18:11,1.01,27.72,37.47,baseline
1,2026-01-17T16:24:35,1.01,23.79,43.66,baseline
2,2026-01-17T16:25:04,1.01,23.33,44.52,baseline
3,2026-01-17T16:25:33,1.01,22.85,45.46,baseline
4,2026-01-17T16:26:01,1.01,23.13,44.91,baseline
5,2026-01-17T16:26:29,1.01,26.21,39.63,baseline
1,2026-01-19T14:12:12,1.01,31.1,33.39,baseline
2,2026-01-19T14:13:12,1.01,31.12,33.38,baseline
3,2026-01-19T14:13:48,1.01,31.65,32.82,baseline
4,2026-01-19T14:14:25,1.01,30.66,33.88,baseline
5,2026-01-19T14:15:01,1.01,28,37.1,baseline
1,2026-01-19T14:22:29,1.01,31.57,32.90,baseline
2,2026-01-19T14:23:06,1.01,31.56,32.91,baseline
3,2026-01-19T14:23:42,1.01,35.89,28.94,baseline
4,2026-01-19T14:24:24,1.01,29.22,35.55,baseline
5,2026-01-19T14:24:57,1.01,24.85,41.80,baseline
1,2026-01-19T14:31:21,1.01,27.02,38.44,baseline
2,2026-01-19T14:31:53,1.01,26.58,39.08,baseline
3,2026-01-19T14:32:25,1.01,28.55,36.38,baseline
4,2026-01-19T14:32:58,1.01,30.15,34.45,baseline
5,2026-01-19T14:33:34,1.01,27.98,37.12,baseline
