Iteration,Timestamp,TimeMs,TimeSeconds,Configuration
1,2026-01-19T19:38:51,19206.9365,19.21,both
2,2026-01-19T19:39:22,17385.6107,17.39,both
3,2026-01-19T19:39:54,22878.4704,22.88,both
4,2026-01-19T19:40:33,22115.1946,22.12,both
5,2026-01-19T19:41:07,15237.8494,15.24,both
1,2026-01-19T19:58:24,20330.1651,20.33,both
2,2026-01-19T19:58:59,19421.764,19.42,both
3,2026-01-19T19:59:32,14501.269,14.50,both
4,2026-01-19T20:00:01,15554.2695,15.55,both
5,2026-01-19T20:00:30,14977.3482,14.98,both
1,2026-01-19T20:09:07,26883.4949,26.88,both
2,2026-01-19T20:09:56,23465.2687,23.47,both
3,2026-01-19T20:10:36,15766.3162,15.77,both
4,2026-01-19T20:11:02,11223.0854,11.22,both
5,2026-01-19T20:11:24,14857.6668,14.86,both
1,2026-01-19T20:20:55,31240.9835,31.24,both
2,2026-01-19T20:21:44,17157.9196,17.16,both
3,2026-01-19T20:22:15,20401.583,20.40,both
4,2026-01-19T20:22:51,16573.7118,16.57,both
5,2026-01-19T20:23:21,18942.5476,18.94,both
1,2026-01-19T20:53:23,21640.8245,21.64,both
2,2026-01-19T20:54:01,20812.4221,20.81,both
3,2026-01-19T20:54:43,25753.4897,25.75,both
4,2026-01-19T20:55:22,15102.6482,15.10,both
5,2026-01-19T20:55:47,13032.0611,13.03,both
