Iteration,Timestamp,SourceSizeGB,CopyTimeSeconds,SpeedMBps,Configuration
1,2026-01-19T19:41:27,1.01,34.01,30.54,both
2,2026-01-19T19:42:08,1.01,32.92,31.55,both
3,2026-01-19T19:42:46,1.01,27.66,37.55,both
4,2026-01-19T19:43:18,1.01,37.58,27.64,both
5,2026-01-19T19:44:02,1.01,42.94,24.19,both
1,2026-01-19T20:00:50,1.01,25.33,41.01,both
2,2026-01-19T20:01:21,1.01,25.59,40.59,both
3,2026-01-19T20:01:51,1.01,28.37,36.61,both
4,2026-01-19T20:02:25,1.01,30.46,34.10,both
5,2026-01-19T20:03:01,1.01,25.67,40.46,both
1,2026-01-19T20:11:44,1.01,28.61,36.30,both
2,2026-01-19T20:12:19,1.01,39.16,26.52,both
3,2026-01-19T20:13:05,1.01,28.34,36.65,both
4,2026-01-19T20:13:38,1.01,21.03,49.39,both
5,2026-01-19T20:14:02,1.01,15.07,68.92,both
1,2026-01-19T20:23:45,1.01,24.95,41.63,both
2,2026-01-19T20:24:15,1.01,26.92,38.58,both
3,2026-01-19T20:24:48,1.01,26.45,39.27,both
4,2026-01-19T20:25:19,1.01,28.53,36.41,both
5,2026-01-19T20:25:53,1.01,26.30,39.49,both
1,2026-01-19T20:56:03,1.01,23.15,44.87,both
2,2026-01-19T20:56:32,1.01,35.16,29.54,both
3,2026-01-19T20:57:14,1.01,31.34,33.14,both
4,2026-01-19T20:57:50,1.01,44.38,23.40,both
5,2026-01-19T20:58:40,1.01,24.56,42.29,both
